No.,Source,Be Known as ,Original Name,Pen Names ,,,,,,,,,,,,,,,,,,,,,,,,,,
40,《香港文學作家傳略》,南宮搏,馬漢嶽,馬彬,馬兵,史劍,齊簡,碧光,,,,,,,,,,,,,,,,,,,,,,
41,《香港文學作家傳略》,胡春冰,same as column 1,春英紅雨,春冰,,,,,,,,,,,,,,,,,,,,,,,,,
42,《香港文學作家傳略》,哈公,許國,許公許,許抵死,士啤,,,,,,,,,,,,,,,,,,,,,,,,
43,《香港文學作家傳略》,侶倫,李林風,李霖,林風,林下風,,,,,,,,,,,,,,,,,,,,,,,,
44,《香港文學作家傳略》,俊人,陳子雋,萬人傑,,,,,,,,,,,,,,,,,,,,,,,,,,
45,《香港文學作家傳略》,姚克,姚莘農,姚成龍,姚志伊,,,,,,,,,,,,,,,,,,,,,,,,,
46,《香港文學作家傳略》,高伯雨,高貞白,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,《香港文學作家傳略》,秦牧,林覺夫,阿芝,頑石,派克,吳瑜,但珂,,,,,,,,,,,,,,,,,,,,,,
48,《香港文學作家傳略》,夏果,源克平,龍韻,,,,,,,,,,,,,,,,,,,,,,,,,,
49,《香港文學作家傳略》,馬五先生,雷嘯岑,尚方,雷劍,野鶴山人,雷南雷,,,,,,,,,,,,,,,,,,,,,,,
50,《香港文學作家傳略》,馬鑑,馬季明,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,《香港文學作家傳略》,徐東濱,same as column 1,岳心,洪毅,黎庶,王延芝,,,,,,,,,,,,,,,,,,,,,,,
52,《香港文學作家傳略》,徐訏,徐傳琮,徐伯訏,徐于,史大剛,東方既白,任子楚,迫迂,麗明,姜城北,余光沐,,,,,,,,,,,,,,,,,,
53,《香港文學作家傳略》,徐速,徐斌,徐直平,王劍叢,,,,,,,,,,,,,,,,,,,,,,,,,
54,《香港文學作家傳略》,孫壽康,same as column 1,孫受匡,受匡,,,,,,,,,,,,,,,,,,,,,,,,,
55,《香港文學作家傳略》,梁風,same as column 1,白雲山,,,,,,,,,,,,,,,,,,,,,,,,,,
56,《香港文學作家傳略》,梁晃,same as column 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,《香港文學作家傳略》,許地山,贊堃,地山,叔丑,落花生,落華生,許叔丑,,,,,,,,,,,,,,,,,,,,,,
58,《香港文學作家傳略》,曹聚仁,曹挺岫,聽濤,丁舟,陳思,丁秀,橄生,諸家,阿挺,天龍,尾生,沁園,姬旦,袁大郎,土老兒,雲亭山人,趙天一,彭觀清,韓澤,聽濤,,,,,,,,,
59,《香港文學作家傳略》,張千帆,張任濤,張建南,章欣漸,,,,,,,,,,,,,,,,,,,,,,,,,
60,《香港文學作家傳略》,張弓,張一鴻,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,《香港文學作家傳略》,張向天,張秉新,張春風,春風,向天,,,,,,,,,,,,,,,,,,,,,,,,
62,《香港文學作家傳略》,張吻冰,張文炳,望雲,,,,,,,,,,,,,,,,,,,,,,,,,,
63,《香港文學作家傳略》,張周,張華英,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,《香港文學作家傳略》,張愛玲,張瑛,梁京,張煐,,,,,,,,,,,,,,,,,,,,,,,,,
65,《香港文學作家傳略》,張稚廬,same as column 1,稚子,張雅廬,,,,,,,,,,,,,,,,,,,,,,,,,
66,《香港文學作家傳略》,張贛萍,張振之,蕭閑,張帆,三郎,張海山,江湖客,,,,,,,,,,,,,,,,,,,,,,
67,《香港文學作家傳略》,陳君葆,same as column 1,今史氏,南,無牌議員,雲,,,,,,,,,,,,,,,,,,,,,,,
68,《香港文學作家傳略》,陸丹林,same as column 1,陸自在,楓園,非素,紫楓,長安老人,居長安,蹇翁,自在,自在長老,頂湖舊侶,樓空老人,淞南吊夢客,肆江,赤子,甘霖,于勤,長老,霞菲,眇叟,,,,,,,,
69,《香港文學作家傳略》,溫健騮,same as column 1,石衣,馬清如,徐醒吾,默娘,林行雲,徐一雲,,,,,,,,,,,,,,,,,,,,,
70,《香港文學作家傳略》,散髮生,曾紀勳,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,《香港文學作家傳略》,黃天石,黃鍾傑,傑克,黃衫客,,,,,,,,,,,,,,,,,,,,,,,,,
72,《香港文學作家傳略》,黃守一,same as column 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,《香港文學作家傳略》,黃冷觀,黃顯成,君達,仲弢,崑崙,黃君達,,,,,,,,,,,,,,,,,,,,,,,
74,《香港文學作家傳略》,黃谷柳,黃顯襄,黃襄,海星,丁冬,冬青,谷柳,茜襄,,,,,,,,,,,,,,,,,,,,,
75,《香港文學作家傳略》,黃思騁,same as column 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,《香港文學作家傳略》,黃崖,葉逢生,陸星,莊重,,,,,,,,,,,,,,,,,,,,,,,,,
77,《香港文學作家傳略》,黃震遐,same as column 1,東方赫,,,,,,,,,,,,,,,,,,,,,,,,,,
78,《香港文學作家傳略》,黃燕清,黃熊彪,黃俊英,言情,,,,,,,,,,,,,,,,,,,,,,,,,
79,《香港文學作家傳略》,黃鷹,黃海明,黃明,盧令,,,,,,,,,,,,,,,,,,,,,,,,,
80,《香港文學作家傳略》,楊天成,楊世英,羅亭,陳洪,青阿哥,,,,,,,,,,,,,,,,,,,,,,,,
